Dish,Category,Make next,Make soon?,required pre-prepared ingredient?,Requires,Vegetable ingredients,Vegetable 1,Vegetable 2,Vegetable 3,Vegetable 4,Meat ingredients,Meat 1,Meat 2,Meat 3,Seafood ingredients,Seafood 1,Seafood 2,Seafood 3,Herbs,Herb 1,Herb 2,Herb 3,Herb 4,Pre-prepared ingredients,Pre-prepared ingredient 1,Pre-prepared ingredient 2,Pre-prepared ingredient 3,"Grains, tubers or pulses",Grain/tuber/pulse 1,Grain/tuber/pulse 2,Dairy ingredients,Dairy 1,Dairy 2,Other (non-storecupboard) ingredients,Other ingredient 1,Other ingredient 2,Other ingredient 3,Method and other info,Method,Cuisine,Tags,url 1,url 2,url 3,Book,Page number,Picture 1,Picture 2,Picture 3,Comments
Hokkien mee,One-dish meals,,,FALSE,";Chinese chives;Bean sprouts;Sotong;Prawns;Prawn pork stock;Noodles, yellow;Lime, calamansi;",,Chinese chives,Bean sprouts,,,,,,,,Sotong,Prawns,,,,,,,,Prawn pork stock,,,,"Noodles, yellow",,,,,,"Lime, calamansi",,,,"Cook prawns and sotong in the prawn pork stock.
Cook bee hoon, blanch yellow noodles 10 seconds.
Fry garlic in lard or duck fat. Add 1 beaten egg per person, fry thoroughly. Add noodles, fish sauce and stock. Braise until absorbed.
Stir in chives, bean sprouts, prawns, sotong and pork belly.
Serve with chili sambal and calamansi.",,"Peter favourite, Multi-day preparation",,,,,,,,,Limit amount of stock to keep noodles al dente. Can reduce beforehand to increase flavour.
Fermented Brussel sprouts,Vegetable dishes,,,FALSE,;Brussel sprouts;,,Brussel sprouts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilted mani cai,Vegetable dishes,,,FALSE,;Mani cai;,,Mani cai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mashed sweet potato,Carbohydrates,,,FALSE,;Thyme;Sweet potato;,,,,,,,,,,,,,,,Thyme,,,,,,,,,Sweet potato,,,,,,,,,,"Cook whole sweet potatoes open in Codlo at 65C for 2-4 hours. Bake with thyme in foil parcel at 130C for 2 hours.
Remove skins.
Brown butter, beat with potato flesh, maple syrup and thyme leaves. Season.
Can chill and reheat (sous vide at 65C).
 ",,Can prepare ahead,http://www.seriouseats.com/recipes/2014/11/the-best-mashed-sweet-potatoes-recipe.html,,,,,,,,try icecream?
Pork belly with tamarind and lemongrass,Meat dishes,,,FALSE,";Pork, belly;Lemongrass;",,,,,,,"Pork, belly",,,,,,,,Lemongrass,,,,,,,,,,,,,,,,,,,"Brine book belly and sous vide, sous vide with pepper, ginger and lemongrass juice at 57C for 48 hours.
Prepare glaze: ginger and garlic, honey, brown sugar, chili, tamarind paste, worcester sauce.
Slice and brown pork belly, deglaze and reduce.
Service with sauerkraut or similar.",,,http://blog.foodpairing.com/2015/08/tamarind-pork-belly-lemongrass-chinese-cabbage/,,,,,,,,
Duck leg confit,Meat dishes,,,FALSE,";Duck, leg;",,,,,,,"Duck, leg",,,,,,,,,,,,,,,,,,,,,,,,,,,"Salt duck 6-8 hours (less if deboned). TK:
peppercorns
bay leaves
thyme
garlic gloves
Or: star anise
Sous vide with duck fat, and some saved garlic, herbs and peppercorns. 70C for 12 hours.
Sear.
Or: debone and compress in fridge for 2 hours, brown until crisp.",,"Can prepare ahead, Multi-day preparation",,,,,,,,,
Carnitas,Meat dishes,27/03/2017,,FALSE,";Pork, shoulder;Coriander;Achiote paste;",,,,,,,"Pork, shoulder",,,,,,,,Coriander,,,,,,,,,,,,,,,Achiote paste,,,,"Cut 1.3kg pork into 3cm cubes. Pressure cook with one third as much stock 30 minutes, no more (or keep whole bone in and cook 2 hours). Can chill overnight.
Strain liquid, add 1 tbsp achiote paste and chipotle powder, reduce until syrupy. Return pork simmer a few minutes to glaze. Season with salt, lime juice, coriander and chilli powder.",Mexican,"Good for groups, Keeps well, Can prepare ahead, Multi-day preparation",http://modernistcuisine.com/recipes/pressure-cooked-carnitas/,,,,,,,,
Garlic confit,Pre-prepared ingredients,,,FALSE,;Thyme;Rosemary;,,,,,,,,,,,,,,,Thyme,Rosemary,,,,,,,,,,,,,,,,,,"Sous vide garlic cloves with rosemary, thyme and olive oil for 7 hours at 88C.
Or: pressure cook in jar for 2 hours.",,,http://modernistcuisine.com/recipes/garlic-confit/,,,,,,,,
Salmon and green beans,Salads,,,FALSE,;Green beans;Salmon;Tarragon;Spring onion;Thyme;Chervil;Farmer's cheese;Pearl barley;,,Green beans,,,,,,,,,Salmon,,,,Tarragon,Spring onion,Thyme,Chervil,,Farmer's cheese,,,,Pearl barley,,,,,,,,,,"Cure and sous vide salmon with masala, bay, thyme, allspice and pepper (42C for 25 minutes).
Boil pearl barley (40 minutes).
Blanch and refresh green beans, leave to dry.
Reduce salmon liquid and whisk with lemon and olive oil.
Break up salmon, mix with barley, beans, tarragon, chervil, spring onion and dressing. Garnish with farmers cheese and black sesame.",,,http://www.theguardian.com/lifeandstyle/2015/feb/06/salmon-recipes-fishcakes-cured-poached-yotam-ottolenghi,,,,,,,,
Cherry trifle,Desserts,,,FALSE,;Cherries;,,Cherries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nose to Tail Eating,,,,,
Biscuits,Carbohydrates,,,FALSE,;Kefir buttermilk;,,,,,,,,,,,,,,,,,,,,Kefir buttermilk,,,,,,,,,,,,,,"Check flour ratio, try adding some starter.

85ml buttermilk
55ml heavy cream
1 large egg (keep half back for wash)
250g all-purpose or low-protein flour
1 teaspoons baking powder
pinch salt
115g unsalted butter

1. Cut butter into small pieces. Chill.
2. Whisk together buttermilk, cream and egg.
3. Mix flour, baking powder and salt.
4. Rub in butter for coarse crumb.
5. Add buttermilk mixture and mix into dry dough. Cover and chill for 30 minutes.
6. Preheat oven to 200.
7. Turn out the dough onto a lightly floured work surface. Form dough into a rectangle without squeezing or kneading the dough.
8. Fold dough into thirds like a letter. Roll out and repeat. Roll dough to 1/2-inch thickness. Wrap in plastic and chill 10 minutes.
9.Cut biscuits using a 3-inch round cookie-cutter. Brush with egg-wash.
10. Bake the biscuits about 15 minutes.",American,,,,,,,,,,
Stir fried kai lan,Vegetable dishes,,,FALSE,;Kai lan;,,Kai lan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fry garlic, add kai lan. Cover. Oyster sauce and off heat.",Chinese,Quick preparation,,,,,,,,,
Beef stock,Pre-prepared ingredients,,,FALSE,";Carrots;Tomatoes, fresh;Beef, bones;Spring onion;",,Carrots,"Tomatoes, fresh",,,,"Beef, bones",,,,,,,,Spring onion,,,,,,,,,,,,,,,,,,,"Roast beef bones 30 minutes with onion and carrots. Cook at 80C for 10 hours, with spring onion, ginger, tomato, peppercorns, star anise.
Reduce to 60C add konbu for 2 hours.
For Chinese style soup: chili bean paste, soy, rice wine.
Strain, reduce, skim.",,,,,,,,,,,
Beef gravy,Sauces,,,FALSE,;Beef stock;,,,,,,,,,,,,,,,,,,,,Beef stock,,,,,,,,,,,,,,"Caramelise 2 onions with thyme in duck or beef fat and cream, deglazing with half glass of Madeira. Add heaped tsp each of blackcurrant jam or similar, English mustard and plain flour.
Slowly add 600ml organic beef stock, reduce and season.",,,,,,,,,,,
Smoked brisket,Meat dishes,,,FALSE,";Beef, brisket;Parsley;",,,,,,,"Beef, brisket",,,,,,,,Parsley,,,,,,,,,,,,,,,,,,,"48 hour onion brine for brisket:
2 onions
1 bunch parsley
3.3l water
1.7% salt
Blend with half the water.
Soak wood chips 1 hour, heat in foil parcels. Smoke beef at 82C for 10-12 hours.",,,,,,,,,,,
Braised beef,Meat dishes,,,FALSE,";Beef, chuck;Beef stock;Peppercorns, green;",,,,,,,"Beef, chuck",,,,,,,,,,,,,Beef stock,,,,,,,,,,"Peppercorns, green",,,,"Brown beef  (chuck, oyster blade, skirt, short rib etc.) in pressure cooker.
Flame with 1 tbsp brandy.
Cover with stock, pressure cook for 30 minutes.

Add spices and herbs as desired.
OR: blend diced daikon, asian pear and garlic with the stock, black pepper, soy, mirin and sake.

Chill overnight.
Remove beef, reduce stock, return beef to glaze.
Add green peppercorns if available and cream if desired.
OR: veg (potato, carrots, onions, dried shiitake), grains (pot barley, farro).",,"Keeps well, Can prepare ahead, Multi-day preparation",,,,,,,,,
Wing bean salad,Salads,18/12/2016,,FALSE,";Wing bean;Tomatoes, fresh;",,Wing bean,"Tomatoes, fresh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Top and tail wing beans, blanch until verdant (<1min), refresh and slice.
Rempah garlic and salt, add optionally:
peanuts
dried prawns
chilipadi
Tomato water, vegetable brine, lime juice, gula melaka/honey, fish sauce and tamarind water.
Dress beans and seeded tomatoes.
Optional: bonito powder, mint, coriander, pickled vegetables, olive oil.",,,,,,,,,,,"Try adding saurkraut, reducing lime/tamarind.
Works with green papaya."
Duck with salted mustard green soup,Soups,,,FALSE,";Tomatoes, fresh;Duck, whole;Preserved mustard greens;",,"Tomatoes, fresh",,,,,"Duck, whole",,,,,,,,,,,,,Preserved mustard greens,,,,,,,,,,,,,,"Pressure cook duck carcass with ginger, spring onion and rice wine/brandy for 1 hour. Can use leftover roast duck or pork.
Optional: infuse with sichuan pepper, cinnamon, star anise, nutmeg, chilli and assam keping, then chill overnight.
Slice mustard greens to 2mm, soak in water for 5 mins (reserve water to adjust seasoning later).
Add to duck stock with a few salted plums, simmer. Add tomato wedges.
Optional: Add slices of sous-vide duck breast/leg.
Season with white pepper. Optional: brandy.",,Claudia favourite,,,,,,,,,
Ayam buah keluak,Meat dishes,,,FALSE,";Chicken, whole;Lemongrass;Turmeric, fresh;Buah keluak;Galangal;",,,,,,,"Chicken, whole",,,,,,,,Lemongrass,,,,,,,,,,,,,,,"Turmeric, fresh",Buah keluak,Galangal,,"Extract flesh, mix in pestle with sugar and salt (to taste, roughly 1 tbsp sugar and 1 tsp salt per 4 nuts).
Fry rempah. Balance gravy with tamarind, sugar and salt.
Brine chicken pieces with salt, lime for a few hours. Marinade in gravy, sous vide then chill in bag. Reheat sauce add stock, warm chicken through.",,"Peter favourite, Keeps well, Multi-day preparation",,,,,,Recipes_Images/Ayam buah keluak.Picture 1.125712.jpg,Recipes_Images/Ayam buah keluak.Picture 2.125715.jpg,,
Pumpkin puree,Carbohydrates,,,FALSE,;Pumpkin;Curry leaves;,,Pumpkin,,,,,,,,,,,,,Curry leaves,,,,,,,,,,,,,,,,,,,"Per 100g of pumpkin add:
10g butter
0.5g baking powder
Salt
Pressure cook for 30 minutes.
Blend with eg:
thyme, cinnamon, allspice; or
gula melaka, coconut milk, lime, tamarind, fish sauce, basil, pre-fried rempah (eg. shallot, ginger, chilli, belacan, lemongrass, curry leaves).",,,,,,,,,,,
Polenta,Carbohydrates,23/05/2016,,FALSE,;Polenta;,,,,,,,,,,,,,,,,,,,,,,,,Polenta,,,,,,,,,,"Combine:
100g polenta
500ml chicken stock
40g butter
25g parmesan, grated
Cook at 85C for 2 hours. Season.
Optional: chill, slice and fry",,,,http://www.greatbritishchefs.com/how-to-cook/how-to-cook-polenta-sous-vide,,,,,,,
Grilled broccolini,Vegetable dishes,,,FALSE,;Broccolini;,,Broccolini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blanch, refresh, sear, season.",,,,,,,,,,,
Malaga raisin icecream,Desserts,,,FALSE,";Cream, double;Milk, whole;",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cream, double","Milk, whole",,,,,,,,,,,,Moro,271,Recipes_Images/Malaga raisin icecream.Picture 1.035017.jpg,,,Also works with macerated prunes.
Brussel sprouts with bonito,Salads,11/04/2016,,FALSE,;Brussel sprouts;Chervil;Tonnato;,,Brussel sprouts,,,,,,,,,,,,,Chervil,,,,,Tonnato,,,,,,,,,,,,,,"Slice sprouts in two.
Blanch and refresh or char any loose leaves.
Roast halfs in grapeseed oil and salt for 10 minutes, cool.
Season and toss in lemon juice and olive oil.
Garnish with bonito flake powder, chervil. Serve with tonnato sauce.",,,,,,,,,,,
Tomato and nori salad,Salads,10/04/2016,,FALSE,";Tomatoes, fresh;Shiso leaves;Spring onion;Tonnato;Nori;",,"Tomatoes, fresh",Shiso leaves,,,,,,,,,,,,Spring onion,,,,,Tonnato,,,,,,,,,,Nori,,,,"Good quality tomatoes, can peel.
Crazy water:
  sauerkraut brine
  tomato liquid
  garlic
  honey
  fish sauce
  lemon juice
Tonnato
Seaweed, briefly flamed and crumbled
Shiso leaves
Spring onion
Olive oil",,,,,,Bar Tartine,272,Recipes_Images/Tomato and nori salad.Picture 1.044102.jpg,Recipes_Images/Tomato and nori salad.Picture 2.044105.jpg,,Leftovers can be pureed briefly and chilled for gazpacho type soup.
Beetroot and blue cheese salad,Salads,,,FALSE,";Beetroot;Dill;Spring onion;Cheese, blue;",,Beetroot,,,,,,,,,,,,,Dill,Spring onion,,,,,,,,,,,"Cheese, blue",,,,,,,,,,,,,Bar Tartine,192,Recipes_Images/Beetroot and blue cheese salad.Picture 1.045626.jpg,,,
Sotong with peppercorns,Seafood dishes,26/09/2016,,FALSE,";Sotong;Spring onion;Peppercorns, green;",,,,,,,,,,,Sotong,,,,Spring onion,,,,,,,,,,,,,,,"Peppercorns, green",,,,"Dress sotong in a little rice wine. Mix fish sauce, palm sugar and lime. Fry garlic, spring onion whites, add sotong, peppercorns, then sauce and greens.",,"Claudia favourite, Quick preparation",,,,,,,,,
Dan Dan mian,Carbohydrates,04/04/2016,,FALSE,";Beef, mince;",,,,,,,"Beef, mince",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recipes_Images/Dan Dan mian.Picture 1.121033.jpg,,,"Try more chili, Sichuan pepper and picked vegetable. Less sesame paste if sweet."
Pork satay,Meat dishes,,,FALSE,";Cucumber;Pork, belly;Lemongrass;Turmeric, fresh;",,Cucumber,,,,,"Pork, belly",,,,,,,,Lemongrass,,,,,,,,,,,,,,,"Turmeric, fresh",,,,"Rempah (for marinade and sauce base):
shallots
tumeric
lemongrass
palm sugar
dried chillies
white pepper
ground coriander
salt

Cut belly/ collar into small pieces across the grain (alternative: chicken leg). Marinade for 12+ hours.

Sous vide 57C for 6 hours. Skewer (thread tightly together) and dry in fridge. (or BBQ)

Sauce
Fry rempah base, add pounded roasted peanuts. Thin with tamarind, fish or soy sauce, oil and some water. Optional: coconut milk.

Glaze:
Simmer kecap manis with garlic, ginger, water & sugar if necessary. Stir in remaining rempah for 5 minutes.

Brush skewers with glaze and sear. Serve with peanut sauce.",,Multi-day preparation,http://www.seriouseats.com/2016/07/the-food-lab-how-to-make-the-best-satay-indonesian-pork.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+seriouseatsfeaturesvideos+%28Serious+Eats%29,,,,,,,,
Potato puree,Carbohydrates,10/04/2016,,FALSE,;Potato;,,,,,,,,,,,,,,,,,,,,,,,,Potato,,,,,,,,,,"Simmer pots for 30-40 mins
Blend and 1% diastatic malt powder.
Sous vide for 30 mins @ 52C, raise to 75C.
Season.

",,,http://modernistcuisine.com/recipes/diastatic-potato-puree/,,,,,,,,
Grilled lamb,Meat dishes,15/03/2016,,FALSE,";Lamb, leg;Rosemary;Thyme;",,,,,,,"Lamb, leg",,,,,,,,Rosemary,Thyme,,,,,,,,,,,,,,,,,,"Marinade lamb (24hr+) with:
Chilli
Lemon juice
Red wine vinegar
Garlic
Thyme
Rosemary
Salt and pepper
Olive oil (add last)
Cook @55C for 8-48 hours depending on thickness.
Cool, dry and sear/char.",,,,,,,,,,,
Escalivada,Salads,,,FALSE,";Aubergine;Bell pepper;Tomatoes, fresh;",,Aubergine,Bell pepper,"Tomatoes, fresh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Char vegetables. Slow roast onions and tomatoes if using. Peel and tear veg. Dress with sherry vinegar, garlic, lemon, and olive oil. Bunch roughly chopped parsley. Season.",,,,,,,,,,,
Fish-fragrant aubergines,Vegetable dishes,23/07/2016,,FALSE,;Brinjal;Spring onion;Chicken stock;,,Brinjal,,,,,,,,,,,,,Spring onion,,,,,Chicken stock,,,,,,,,,,,,,,"Deep fry brinjal batons (3 mins @ 190C).
Mix chicken stock with a splash of soy sauce and sugar; and potato starch with cold water.
Fry chilli bean paste until oil is red, ginger, garlic until fragrant (~1 tbsp each).
Add sauce and aubergines, simmer a few minutes.
Add potato starch to thicken, then spring onion greens (fine rings), splash of chinkiang vinegar and sesame oil.",,,,,,,,,,,
Red curry paste,Pre-prepared ingredients,,,FALSE,";Lemongrass;Coriander, root;Galangal;Kaffir lime zest;",,,,,,,,,,,,,,,Lemongrass,"Coriander, root",,,,,,,,,,,,,,Galangal,Kaffir lime zest,,,,,,,,,Thai Street Food,158,Recipes_Images/Red curry paste.Picture 1.110941.jpg,,,"Optional: coriander, cumin, nutmeg, chilipadi, grachai."
Vinegar pickles,Pre-prepared ingredients,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sliced or julienned vegetable, eg. beetroot, carrot, daikon (100%)
water (75%)
rice vinegar (40%)
sugar (20%)
salt (3%)",,,,,,Momofuku,66,,,,
Gong bao ji,Meat dishes,,,FALSE,";Chicken, leg;Spring onion;",,,,,,,"Chicken, leg",,,,,,,,Spring onion,,,,,,,,,,,,,,,,,,,"Marinade/sous vide chicken with:
Soy
Rice wine
Potato starch
Salt

Sauce
Tbsp each:
Sugar
Chinkiang
Chicken stock
Tsp each:
Dark and light soy
Sesame oil
A little potato starch

Fry dry chilli and Sichuan peppercorns. Scorch without burning.
Ginger and garlic.
Spring onion whites.
Chicken add sauce.
Peanuts.",Chinese,,,,,Sichuan Cookery,83,,,,
Sweet pastry,Pre-prepared ingredients,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moro,262,Recipes_Images/Sweet pastry.Picture 1.125844.jpg,,,
Tarta de Santiago,Desserts,,,FALSE,";Orange, zest;Sweet pastry;Membrillo;",,"Orange, zest",,,,,,,,,,,,,,,,,,Sweet pastry,,,,,,,,,,Membrillo,,,,"Bake pastry shell, cool.
Melt membrillo with lemon juice and water, spread on tart shell.
Process almonds unevenly, mix mix zests, cinnamon, oloroso/Madeira.
Beat sugar and butter until fluffy, add eggs one at a time. Fold in almonds and spread into tart. Bake 30-40 mins@ 180C until golden. Serve with creme fraiche or yogurt.",,,,,,Moro,264,Recipes_Images/Tarta de Santiago.Picture 1.010923.jpg,,,
Veal stock,Pre-prepared ingredients,,,FALSE,";Carrots;Celery;Veal, bones;Parsley;Thyme;",,Carrots,Celery,,,,"Veal, bones",,,,,,,,Parsley,Thyme,,,,,,,,,,,,,,,,,,"Roast bones 30 mins.
Cover with water and pressure cook 1 hr.
Meanwhile, reuse roasting tray for mirepoix.
Strain bones. Simmer briefly with mirepoix, stitake mushroom, thyme, parsley stalks, tomato paste/juice, peppercorns, star anise. As stock is cooling add konbu.
Chill and remove fat the following day.",,,,,,,,,,,
Oxtail stew,Meat dishes,,,FALSE,";Daikon;Beef, oxtail;Veal stock;",,Daikon,,,,,"Beef, oxtail",,,,,,,,,,,,,Veal stock,,,,,,,,,,,,,,"Blanch and then brown oxtail. Deglaze with red wine. Cover with sufficient stock/wine/water. Pressure cook for 25 mins. Simmer daikon for 20 mins. Steep with mirepoix, konbu, tomato paste/juice, shiitake mushroom, herbs and aromatics depending on stock used. Chill and remove fat the next day. Reduce sauce to desired consistency. Good with green sauce to cut richness.",,,,,,,,,,,
Roast potatoes,Carbohydrates,,,FALSE,;Potato;,,,,,,,,,,,,,,,,,,,,,,,,Potato,,,,,,,,,,"Parboil, smash, season and roast in duck fat. Peel floury potatoes, waxy potatoes can be unpeeled.",,,,,,,,,,,
Red curry with fish,Seafood dishes,,,FALSE,";Fish, white;Basil;Red curry paste;Peppercorns, green;",,,,,,,,,,,"Fish, white",,,,Basil,,,,,Red curry paste,,,,,,,,,,"Peppercorns, green",,,,"Make curry paste. Keep offcuts and make quick stock with fish bones.
Fry paste, add:
coconut milk
kaffir lime leaves
stock
simmer 5 mins
add fish, fresh chillies, basil leaves and peppercorns. Grachai if available.
Leave 10 minutes.

",,,,,,,,,,,
Roasted pumpkin,Vegetable dishes,,,FALSE,;Pumpkin;Curry leaves;Red curry paste;,,Pumpkin,,,,,,,,,,,,,Curry leaves,,,,,Red curry paste,,,,,,,,,,,,,,"Roast pumpkin cubes with butter, salt and a little baking powder.
Fry with paste and curry leaves. Or: green sauce.",,,,,,,,,,,
Sambal Udang,Seafood dishes,16/09/2016,,FALSE,;Cucumber;Petai;Prawns;Mint;Lemongrass;,,Cucumber,Petai,,,,,,,,Prawns,,,,Mint,Lemongrass,,,,,,,,,,,,,,,,,,"Prawns: cornflour, chill and deep fry; or sous vide.
Rempah:
3  lemongrass
10 dried red chillies (rehydrated)
1 slice of belachan
Fry in plenty of oil. Add kafir lime leafs, gula melaka, salt and lime.
Serve with cucumber and mint.
Optional: petai, belimbing.",,,http://www.foodcanon.com/2011/09/auntie-rubys-sambal-prawns-sambal-udang.html,,,,,,,,
"Butter bean, cauliflower and leek",Salads,03/05/2016,,FALSE,;Leeks;Cauliflower;Parsley;Butterbeans;,,Leeks,Cauliflower,,,,,,,,,,,,Parsley,,,,,,,,,Butterbeans,,,,,,,,,,"1 can or 2 hand falls of butter beans: soak overnight then simmer with 2 head garlic until 'pillows of joy' (2-3 hour).
Mix with bitesize cauliflower florets and dress:
lots of olive oil
juice of 1 lemon
6 crushed garlic cloves/ brined garlic chives
Leave overnight.
4 leeks: 5mm disks, blanch for a moment.
Add to salad (to awaken), then chopped parsley and  plenty of capers.",,,,,,Beyond Nose to Tail,22,,,,
Fried brinjal,Vegetable dishes,05/04/2016,,FALSE,";Brinjal;Pork, mince;Spring onion;Chicken stock;",,Brinjal,,,,,"Pork, mince",,,,,,,,Spring onion,,,,,Chicken stock,,,,,,,,,,,,,,"Deep fry brinjal strips (2x2x5cm) at 190C until golden.

Mix sauce:
chicken stock
light and dark soy
shaoxing (optional)
hoisin or sugar (optional).

Potato starch and cold water (optional).

Remove most oil, fry pork mince if using.
Add finely chopped ginger.
Sauce.
Return brinjal, potato starch slurry and finely sliced spring onion greens.",,,,,,,,,,,
Sweet potato with lime,Carbohydrates,,,FALSE,;Coriander;Sweet potato;Limes;,,,,,,,,,,,,,,,Coriander,,,,,,,,,Sweet potato,,,,,,Limes,,,,"Peel and dice 500g sweet potato 1cm. Boil 3-5 mins.
Remove skin and pith from 5 limes. Mix with sugar, coriander, finely chopped red chilli, salt, garlic, ginger, tamarind and spices:
cumin
coriander
caraway
fennel
cinnamon
star anise
black pepper
Marinade sweet potato overnight. Bring to room temperature before serving.",,,,,,,,,,,
Raita,Sauces,14/05/2016,,FALSE,;Cucumber;Mint;Yoghurt;,,Cucumber,,,,,,,,,,,,,Mint,,,,,,,,,,,,Yoghurt,,,,,,,"Peal and seed cucumber, mix with yoghurt, lemon, paprika and mint. Season. Optional: garlic.",,,,,,,,,,,
Kosheri,Carbohydrates,,,FALSE,;Chicken stock;Green lentils;,,,,,,,,,,,,,,,,,,,,Chicken stock,,,,Green lentils,,,,,,,,,,,,,,,,Ottolenghi the Cookbook,85,Recipes_Images/Kosheri.Picture 1.041242.jpg,,,
Bánh canh (tapioca noodles),Carbohydrates,,,FALSE,;Tapioca starch;,,,,,,,,,,,,,,,,,,,,,,,,Tapioca starch,,,,,,,,,,"425g tapioca flour
20g rice flour
320g hot water
Salt

Knead until smooth, adjust water if necessary.
Divide into 5, pass through ricer (largest holes) into soup.",,,http://vietspices.blogspot.sg/2015/06/banh-canh-bot-loc-tapioca-noodle.html?m=1,,,,,,,,
Crab with green pepper,Seafood dishes,,,FALSE,";Crab;Spring onion;Peppercorns, green;",,,,,,,,,,,Crab,,,,Spring onion,,,,,,,,,,,,,,,"Peppercorns, green",,,,"Kill crabs.
Break off tail flap, then claws, crack shells.
Chop body in half then tug legs to removed body pieces from shell. Remove dead man's fingers, cut each piece in half again.
Mince garlic.
Stir fry crab 3 minutes, add garlic and peppercorns then fish sauce and water, cover 5 minutes.
Add dark soy, gula melaka and spring onion.",,,,,,,,,,,
Fish head curry,Seafood dishes,06/05/2016,,";Brinjal;Ladies fingers;Tomatoes, fresh;Chilli, green;Fish, grouper;Laksa leaf;Lemongrass;Coriander;Mint;Bunga kantan;Asam keping;",,Brinjal,Ladies fingers,"Tomatoes, fresh","Chilli, green",,,,,,"Fish, grouper",,,,Laksa leaf,Lemongrass,Coriander,Mint,,,,,,,,,,,,Bunga kantan,Asam keping,,,"Season fish with salt and tumeric powder. Cook in water bath at 53C.

Slice onion, caramelise in dutch oven.

Add rempah:
dried red chillies (rehydrated)
garlic
ginger
turmeric
lemongrass
gula melaka
candlenuts
coriander, cumin, fennel seeds, back pepper (don't stint on spices)
optional: coconut flesh

Fry until oil separates.

Add tamarind liquid, asam keping, tomato quarters, bunga kantan (one halfed, one finely chopped), laksa leaf, green chillies, ladies fingers and brinjal.  Season to taste and add water if necessary, but not too much. Thicken if necessary.
Submerge fish head.
Garnish with coriander and mints.

Lemak version
Ikan bilis, taucheong and coconut milk in stock. Curry leaves. Baba's curry powder.",,,,,,,,,,,,
Crab curry,Seafood dishes,,,FALSE,;Crab;Lemongrass;Tumeric leaf;Asam keping;,,,,,,,,,,,Crab,,,,Lemongrass,Tumeric leaf,,,,,,,,,,,,,,Asam keping,,,,"Rempah:
dried red chillies (rehydrated)
shallots
lemongrass
ginger
candlenuts
asam keping
optional: grated coconut

Prepare crabs (flower).
Fry rempah until fragrant. Add whole lemongrass and palm sugar.
Add coconut milk and asam keping slice, then crabs.
Season, garnish with torn kunyit leaves.

Indian alternative:
Start with whole spices (mustard, cumin, fennel, fenugreek), leave out lemongrass and coconut. Use regular tamarind water, calamansi, moringa leaves to thicken. Garnish with ground cumin.",,,,,,,,,,,
Crumble,Desserts,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100% flour, 50% butter, 50% demerera sugar.
Mix sugar and fat, then flour.",,,,,,,,,,,
Crab soup,Soups,,,FALSE,";Orange, zest;Tomatoes, fresh;Leeks;Fennel;Crab;",,"Orange, zest","Tomatoes, fresh",Leeks,Fennel,,,,,,Crab,,,,,,,,,,,,,,,,,,,,,,,"Kill and cook crab. Remove all white meat and reserve some brown meat.
Make stock with crab shell, veg trimmings and brown meat.
Dice 1 fennel and 1 leak. Peel and seed tomatoes
Gently fry fennel seeds, dried chilli, orange zest, tomato puree,  garlic, fennel and leak. Add 50ml pernod then strained stock, orange juice and saffron.
Add white meat and tomatoes. Season.",,,,,,French Odessey,26,,,,
Nasi ulam,Salads,04/10/2016,,FALSE,;Mint;Laksa leaf;Lemongrass;Basil;Bunga kantan;,,,,,,,,,,,,,,,Mint,Laksa leaf,Lemongrass,Basil,,,,,,,,,,,,Bunga kantan,,,,"Cook basmati or brown rice. Fluff and cool.
Toast belacan, rempah with dried prawns and a little gula melaka. Optional: salted fish.
Dice herbs eg:
mint
dawn kesom (laksa leaf)
daun kunyit (turmeric leaf)
thai basil
daun kemangi (lemon basil)
bunga kantan
lemongrass
olive vegetable

Mix the rice, herbs and rempah. Salt to taste. Garnish with sliced shallots. Serve with sambal belacan.
Good with fried chicken or sambal udang.",,,http://www.foodcanon.com/2016/02/nasi-ulam-it-is-really-simpler-than-you.html?m=1,,,,,,,,
